Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-12-04,@,Gonzaga,L,62.0,101.0,23.0,58.0,0.397,5.0,20.0,0.25,11.0,17.0,0.647,7.0,31.0,11.0,6.0,3.0,16.0,17.0,,42.0,78.0,0.538,8.0,27.0,0.296,9.0,16.0,0.563,16.0,48.0,22.0,9.0,4.0,11.0,14.0,-39.0,0,8,81.5,65.85714285714286,79.85714285714286,-0.10528141199542873,-0.01298768947419271,0.3792857142857143,0.43014285714285716,72.85714285714286,-14.0,-0.19215686274509802,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-14.0,39.0,81.5,64.11111111111111,84.55555555555556,74.33333333333333,20.444444444444443,0.2750373692077728,1,0,0.0,2019-12-04,,Texas Southern,1,62.0,101.0,8.0,5.0,W,-0.021802942918606072,0.029629883996631357,10,19.575757575757578,20.444444444444443,0.4067777777777778,0.4970000000000001,0.42436363636363633,0.25214676034348166,-0.7380952380952337,-0.055852269644358285,0.016827651418139272,6.5722789115646245,6.5722789115646245,-7.189682539682543,-7.189682539682543,-0.40978835978836,-1.933575139337654,5.292965067005667,-1.8698600035794146,4.310054747207527
2019-12-18,@,Nevada,L,73.0,91.0,22.0,74.0,0.297,4.0,25.0,0.16,25.0,30.0,0.833,13.0,32.0,9.0,7.0,5.0,8.0,25.0,,27.0,57.0,0.474,8.0,23.0,0.348,29.0,31.0,0.935,6.0,43.0,19.0,4.0,4.0,14.0,24.0,-18.0,0,9,82.0,65.375,82.5,-0.10128726841364,-0.02261527119479767,0.38149999999999995,0.44362500000000005,73.9375,-17.125,-0.231614539306847,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.125,18.0,82.0,72.18181818181819,76.18181818181819,74.18181818181819,4.0,0.053921568627450976,1,0,0.0,2019-12-18,,Texas Southern,1,73.0,91.0,8.0,4.0,W,0.08027038729945268,-0.015035697116483004,12,4.774193548387089,6.888888888888886,0.40954545454545455,0.44572727272727275,0.4060967741935484,0.0638757013379369,-0.12215909090909349,0.03902466770676474,-0.04260676680632508,8.442559523809523,8.442559523809523,3.555853994490357,3.555853994490357,-1.8042123081596764,-1.933575139337654,7.078314130599656,-1.8698600035794146,0.5340505428659704
2019-12-21,@,Oregon,L,78.0,84.0,29.0,64.0,0.453,10.0,29.0,0.345,10.0,13.0,0.769,11.0,26.0,13.0,5.0,2.0,16.0,22.0,,26.0,50.0,0.52,10.0,25.0,0.4,22.0,27.0,0.815,10.0,28.0,12.0,9.0,1.0,19.0,16.0,-6.0,0,10,81.0,66.22222222222223,83.44444444444444,-0.10714852317771409,-0.025907850785646225,0.37211111111111106,0.44700000000000006,74.83333333333333,-17.222222222222214,-0.23014105419450623,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,6.0,81.0,65.54545454545455,78.36363636363636,71.95454545454545,12.818181818181813,0.1781427668982943,1,0,0.0,2019-12-21,,Texas Southern,1,78.0,84.0,10.0,10.0,W,0.006661252745299384,0.02350753803480765,12,9.129032258064527,11.888888888888886,0.3794545454545455,0.49500000000000005,0.4087741935483872,0.12802533363492435,1.4393939393939377,-0.05018762779783064,-0.01313692285775831,7.545959595959598,7.545959595959598,5.584986225895318,5.584986225895318,-1.1999396738527162,-1.933575139337654,6.822300732576037,-1.8698600035794146,1.5980472334776743
2019-12-28,@,Arizona State,L,81.0,98.0,26.0,60.0,0.433,9.0,22.0,0.409,20.0,24.0,0.833,11.0,30.0,16.0,5.0,0.0,22.0,22.0,,36.0,63.0,0.571,12.0,25.0,0.48,14.0,21.0,0.667,10.0,31.0,19.0,13.0,1.0,15.0,19.0,-17.0,0,11,89.5,67.4,83.5,-0.08652139474483816,-0.018913583660774835,0.3802,0.4543000000000001,75.45,-16.099999999999994,-0.2133863485752153,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,17.0,89.5,66.5,73.0,69.75,6.5,0.0931899641577061,1,0,0.0,2019-12-28,,Texas Southern,1,81.0,98.0,12.0,9.0,W,-0.05667504703539539,-0.024050677893362238,13,3.3548387096774235,11.666666666666671,0.4144999999999999,0.42241666666666666,0.43012903225806437,0.046511627906976806,2.8500000000000014,0.04561686306501738,0.03274031526394179,7.740727050727051,7.740727050727051,2.1895396270396277,1.5855583810129266,-0.3060021099844102,-1.933575139337654,7.052973885124887,-1.8698600035794146,0.29444867093322746
2019-12-30,@,Texas A&M,L,55.0,58.0,19.0,54.0,0.352,3.0,16.0,0.188,14.0,20.0,0.7,8.0,33.0,12.0,4.0,1.0,14.0,16.0,,22.0,60.0,0.367,4.0,24.0,0.167,10.0,15.0,0.667,14.0,41.0,14.0,9.0,4.0,15.0,19.0,-3.0,0,12,56.5,68.63636363636364,84.81818181818181,-0.07511376607739853,-0.011273558245367687,0.38499999999999995,0.464909090909091,76.72727272727273,-16.181818181818173,-0.21090047393364916,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,3.0,56.5,61.4,57.7,59.55,-3.6999999999999957,-0.06213266162888322,1,0,0.0,2019-12-30,,Texas Southern,1,55.0,58.0,4.0,3.0,W,-0.048359717389850454,0.08224111020881497,11,-2.0333333333333385,-5.777777777777779,0.39130000000000004,0.3883,0.41073333333333323,-0.031696544557027875,8.588636363636368,-0.07859668895170127,0.023349220345099314,7.96593255229619,7.96593255229619,1.4440836940836916,1.4440836940836916,-0.4548144420324859,-1.933575139337654,6.716779778266027,-1.8698600035794146,-1.4985728588190717
2020-01-04,,Southern,W,77.0,68.0,28.0,62.0,0.452,5.0,15.0,0.333,16.0,22.0,0.727,15.0,38.0,11.0,6.0,2.0,15.0,13.0,,27.0,59.0,0.458,7.0,20.0,0.35,7.0,12.0,0.583,7.0,25.0,18.0,8.0,6.0,13.0,22.0,9.0,1,13,72.5,67.5,82.58333333333333,-0.08019102877055523,-0.016854331831436475,0.38225,0.45675000000000004,75.04166666666667,-15.083333333333329,-0.20099944475291498,1,0,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,-9.0,72.5,77.81818181818181,62.36363636363637,70.0909090909091,-15.454545454545446,-0.22049286640726318,0,1,0.0,2020-01-04,@,Texas Southern,0,77.0,68.0,7.0,5.0,L,-0.020521446651993513,-0.03665520322538385,12,0.13333333333332575,-16.0,0.478,0.3921818181818182,0.43543333333333345,0.0019762845849801247,2.475378787878789,0.054216403942324555,0.018597722213588946,6.7084998334998325,7.59935519026428,3.3234946871310522,3.3234946871310522,-0.4919054592131512,-1.933575139337654,5.987603685632746,-1.8698600035794146,-2.0512185471501145
2020-01-06,,Alcorn State,L,80.0,95.0,25.0,74.0,0.338,10.0,31.0,0.323,20.0,27.0,0.741,14.0,35.0,12.0,7.0,1.0,11.0,23.0,,27.0,56.0,0.482,17.0,28.0,0.607,24.0,26.0,0.923,8.0,39.0,13.0,8.0,6.0,19.0,22.0,-15.0,0,14,87.5,68.23076923076923,81.46153846153847,-0.0835356360610475,-0.016073937174710118,0.3876153846153846,0.4568461538461539,74.84615384615384,-13.23076923076924,-0.1767728674203496,1,0,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,15.0,87.5,80.625,60.0,70.3125,-20.625,-0.29333333333333333,0,1,,2020-01-06,@,Texas Southern,1,80.0,95.0,17.0,10.0,W,0.017725637896111424,-0.0530592458248188,9,-5.0,-20.625,0.506625,0.35724999999999996,0.4639999999999999,-0.06903876792352628,2.26682692307692,0.06657580528161652,-0.016879596853116956,4.711547577610928,7.257586531115947,5.156385281385281,5.156385281385281,0.1206652824299874,-1.933575139337654,5.5372751969943295,-1.8698600035794146,-1.857633859196358
2020-01-11,,Prairie View,W,71.0,67.0,23.0,51.0,0.451,4.0,18.0,0.222,21.0,29.0,0.724,6.0,29.0,15.0,5.0,5.0,15.0,22.0,,22.0,55.0,0.4,4.0,7.0,0.571,19.0,22.0,0.864,9.0,32.0,11.0,2.0,2.0,19.0,26.0,4.0,1,15,69.0,69.07142857142857,82.42857142857143,-0.07153883987017604,0.003633350201137364,0.38407142857142856,0.45864285714285724,75.75,-13.357142857142861,-0.1763319189061764,1,0,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,-4.0,69.0,72.92307692307692,67.38461538461539,70.15384615384616,-5.538461538461533,-0.07894736842105254,0,1,0.0,2020-01-11,@,Texas Southern,0,71.0,67.0,4.0,4.0,L,-0.12174354018608036,-0.03504334944566073,14,2.0999999999999943,-6.333333333333329,0.4417692307692308,0.4235384615384615,0.4253,0.030310319942265976,2.79807692307692,0.05006955726294916,-0.021031807250502032,3.4125970259898812,7.41789738039738,-1.541307410538181,1.0152847152847144,0.23376541921318014,-1.933575139337654,4.7846126829233055,-1.8698600035794146,1.9831361139923624
2020-01-18,@,Jackson State,W,77.0,66.0,23.0,43.0,0.535,3.0,11.0,0.273,28.0,32.0,0.875,5.0,28.0,8.0,3.0,2.0,13.0,17.0,,25.0,64.0,0.391,3.0,16.0,0.188,13.0,21.0,0.619,14.0,29.0,10.0,7.0,3.0,10.0,23.0,11.0,1,16,71.5,69.2,81.4,-0.07653014245070941,-0.003942052521578976,0.3885333333333333,0.45473333333333343,75.3,-12.200000000000003,-0.1620185922974768,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,-11.0,71.5,74.46666666666667,62.06666666666667,68.26666666666667,-12.399999999999999,-0.18164062499999997,1,0,,2020-01-18,,Texas Southern,0,77.0,66.0,3.0,3.0,L,-0.08473811076124627,-0.03151899057300228,16,-2.3000000000000114,-14.555555555555557,0.4929333333333334,0.3867333333333333,0.4383666666666666,-0.03445692883895148,3.5166666666666657,0.049113672622340426,0.018276818191364966,3.3046257391845653,7.4361779560309,-0.5560348583877996,4.100950683303625,0.05118422247608851,-1.933575139337654,4.605638504061752,-1.8698600035794146,-1.1616127998193524
2020-01-20,@,Grambling,W,68.0,61.0,21.0,53.0,0.396,5.0,15.0,0.333,21.0,30.0,0.7,6.0,29.0,10.0,5.0,3.0,12.0,19.0,,24.0,62.0,0.387,2.0,16.0,0.125,11.0,18.0,0.611,14.0,44.0,10.0,5.0,2.0,18.0,27.0,7.0,1,17,64.5,69.6875,80.4375,-0.08482481053438184,-0.01282506140458789,0.39768749999999997,0.4507500000000001,75.0625,-10.75,-0.14321398834304747,0,1,-4.322580645161295,0.44532258064516134,-0.05783340526542951,-17.222222222222214,-7.0,64.5,73.71428571428571,66.42857142857143,70.07142857142857,-7.285714285714278,-0.1039755351681956,1,0,0.0,2020-01-20,,Texas Southern,0,68.0,61.0,2.0,5.0,L,-0.10062113629743696,0.003336103012390512,15,-2.607142857142847,-10.777777777777771,0.4527857142857143,0.4281428571428572,0.42360714285714296,-0.038290060319957894,2.4955357142857153,-0.016822137377551217,0.0359231436766611,2.634290152464496,7.357831130857448,-3.4825571895424834,-2.2130273321449794,0.005562533847755295,-1.933575139337654,4.174036097557892,-1.8698600035794146,-0.5943130419130898
