Date,Loc,Opp_name,Win,Score,Opp_score,6,7,8,Threes,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Opp_Threes,27,28,29,30,31,32,33,34,35,36,37,38,result,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Mean_Score,Avg_Threes,Opp_Avg_Threes,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Date2,Loc2,Opp_name.1,Win2,Score2,Opp_score.1,6.1,7.1,8.1,Threes2,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,Opp_Threes2,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,result2,Game_Number2,Mean_Score2,Avg_Score2,Opp_Avg_Score2,Avg_Mean_Score2,Avg_Threes2,Opp_Avg_Threes2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Avg_Result_Fin2,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,Avg_Result_NC,Avg_Result_NC2,Opp_Prev_SOS
2018-01-02,@,James Madison,W,84.0,76.0,27.0,52.0,0.519,8.0,18.0,0.444,22.0,26.0,0.846,5.0,33.0,18.0,7.0,4.0,18.0,16.0,,26.0,61.0,0.426,8.0,23.0,0.348,16.0,21.0,0.762,6.0,24.0,17.0,9.0,6.0,12.0,20.0,8.0,11,80.0,81.8,85.7,83.75,0.07522869413083028,-0.02647652079700408,-3.9000000000000057,-0.04656716417910455,0,1,0,-0.03448275862068328,2018-01-02,,William & Mary,L,76.0,84.0,26.0,61.0,0.426,8.0,23.0,0.348,16.0,21.0,0.762,6.0,24.0,17.0,9.0,6.0,12.0,20.0,,27.0,52.0,0.519,8.0,18.0,0.444,22.0,26.0,0.846,5.0,33.0,18.0,7.0,4.0,18.0,16.0,-8.0,14,80.0,74.38461538461539,78.69230769230771,76.53846153846153,-0.018798405537187424,0.038381796253882716,-4.307692307692307,-0.05628140703517587,1,0,0,-3.3225806451612963,-0.04059829059829094,-0.04059829059829094,-0.9818706934091548,-2.12542760270033,0.8285578009415221,0.1904535131627736,1.7353853828106685,0.036394357148201904,3.6057692307692335,0.05373464813856317,0.022309557932775347,-2.1111111111111143,-4.666666666666671,0.193568320774816
2018-01-05,@,Delaware,W,90.0,65.0,34.0,57.0,0.596,11.0,23.0,0.478,11.0,12.0,0.917,5.0,31.0,16.0,7.0,2.0,12.0,19.0,,24.0,59.0,0.407,2.0,12.0,0.16699999999999998,15.0,23.0,0.652,14.0,31.0,12.0,7.0,2.0,15.0,14.0,25.0,12,77.5,82.0,84.81818181818181,83.4090909090909,0.06563306583402717,-0.02413529457977276,-2.818181818181813,-0.03378746594005443,0,1,0,-0.03448275862068328,2018-01-05,,William & Mary,L,65.0,90.0,24.0,59.0,0.407,2.0,12.0,0.16699999999999998,15.0,23.0,0.652,14.0,31.0,12.0,7.0,2.0,15.0,14.0,,34.0,57.0,0.596,11.0,23.0,0.478,11.0,12.0,0.917,5.0,31.0,16.0,7.0,2.0,12.0,19.0,-25.0,14,77.5,70.69230769230771,73.15384615384616,71.92307692307692,-0.02952000954676126,0.017705921807783298,-2.461538461538467,-0.03422459893048136,1,0,0,-3.967741935483872,-0.30063686313686305,-0.30063686313686305,-3.5754181715720184,-3.8164032936760215,0.7389723919870979,0.1904535131627736,1.2755702893586711,0.036394357148201904,5.7430069930069925,0.034089498847333886,0.02669221096890977,-2.1111111111111143,-3.7777777777777857,0.3413750370124756
2018-01-07,@,Drexel,W,85.0,63.0,32.0,64.0,0.5,10.0,22.0,0.455,11.0,16.0,0.688,9.0,36.0,17.0,9.0,2.0,7.0,16.0,,25.0,60.0,0.417,4.0,17.0,0.235,9.0,13.0,0.6920000000000001,5.0,26.0,10.0,5.0,4.0,11.0,13.0,22.0,13,74.0,82.66666666666667,83.16666666666667,82.91666666666667,0.0644998314444985,-0.03697125589146372,-0.5,-0.006030150753768844,0,1,0,-0.03448275862068328,2018-01-07,,William & Mary,L,63.0,85.0,25.0,60.0,0.417,4.0,17.0,0.235,9.0,13.0,0.6920000000000001,5.0,26.0,10.0,5.0,4.0,11.0,13.0,,32.0,64.0,0.5,10.0,22.0,0.455,11.0,16.0,0.688,9.0,36.0,17.0,9.0,2.0,7.0,16.0,-22.0,16,74.0,72.33333333333333,77.2,74.76666666666667,-0.028731735375777945,-0.0130062273888627,-4.866666666666674,-0.06509139545251905,1,0,0,-4.71875,-0.4913541319791322,-0.1658928193019104,-0.8765420527185231,0.3466734246146012,0.3247603110333959,0.1904535131627736,0.8386276039551259,0.036394357148201904,4.075000000000003,-0.028963761397830638,0.03259215152124368,-2.1111111111111143,-4.111111111111114,-0.0983366159635458
2018-01-11,,James Madison,W (1 OT),89.0,82.0,24.0,63.0,0.381,8.0,26.0,0.308,33.0,36.0,0.917,10.0,43.0,13.0,7.0,5.0,11.0,19.0,,28.0,60.0,0.467,8.0,25.0,0.32,18.0,27.0,0.667,0.0,26.0,12.0,7.0,7.0,10.0,26.0,7.0,14,85.5,82.84615384615384,81.61538461538461,82.23076923076924,0.06252020614123682,-0.04208232628861997,1.2307692307692264,0.014967259120673475,1,0,0,-0.03448275862068328,2018-01-11,@,William & Mary,L (1 OT),82.0,89.0,28.0,60.0,0.467,8.0,25.0,0.32,18.0,27.0,0.667,0.0,26.0,12.0,7.0,7.0,10.0,26.0,,24.0,63.0,0.381,8.0,26.0,0.308,33.0,36.0,0.917,10.0,43.0,13.0,7.0,5.0,11.0,19.0,-7.0,17,85.5,74.4375,79.625,77.03125,-0.008738467897339453,0.04440342439532652,-5.1875,-0.06734279918864097,0,1,0,-3.3225806451612963,-0.9690654368256179,-0.3812440010969423,-0.5321174383214826,-1.9945892342951168,0.2506701430733355,0.1904535131627736,0.4111370190355009,0.036394357148201904,2.599759615384613,0.05268881519423869,0.019176419303886468,-2.1111111111111143,-4.666666666666671,0.08364887412841696
2018-01-13,,Towson,L,73.0,99.0,22.0,46.0,0.478,9.0,26.0,0.34600000000000003,20.0,24.0,0.833,2.0,17.0,15.0,3.0,2.0,11.0,15.0,,38.0,59.0,0.644,13.0,22.0,0.591,10.0,12.0,0.833,6.0,26.0,18.0,5.0,4.0,7.0,21.0,-26.0,15,86.0,83.28571428571429,81.64285714285714,82.46428571428571,0.0544001661979982,-0.04055848283879671,1.642857142857153,0.019922044174967644,1,0,0,-0.03448275862068328,2018-01-13,@,William & Mary,W,99.0,73.0,38.0,59.0,0.644,13.0,22.0,0.591,10.0,12.0,0.833,6.0,26.0,18.0,5.0,4.0,7.0,21.0,,22.0,46.0,0.478,9.0,26.0,0.34600000000000003,20.0,24.0,0.833,2.0,17.0,15.0,3.0,2.0,11.0,15.0,26.0,17,86.0,73.1875,68.375,70.78125,-0.041961595237962016,0.0045743581886160106,4.8125,0.06799116997792494,0,1,0,3.0,-1.084065100399134,-0.18219248072189267,-0.9876674151441952,-0.8468344220279206,0.19584447880216715,0.1904535131627736,0.1444429001643012,0.036394357148201904,5.841517857142854,0.015774848516226236,0.04125407422724955,-2.1111111111111143,8.888888888888888,-0.7737055844312416
2018-01-18,,Northeastern,L,70.0,90.0,25.0,54.0,0.463,5.0,17.0,0.294,15.0,18.0,0.833,4.0,20.0,11.0,7.0,3.0,13.0,14.0,,35.0,49.0,0.7140000000000001,12.0,19.0,0.632,8.0,13.0,0.615,1.0,27.0,25.0,8.0,4.0,11.0,16.0,-20.0,16,80.0,82.6,82.8,82.7,0.0545143788162083,-0.030915666451714674,-0.20000000000000284,-0.002418379685610675,1,0,0,-0.03448275862068328,2018-01-18,@,William & Mary,W,90.0,70.0,35.0,49.0,0.7140000000000001,12.0,19.0,0.632,8.0,13.0,0.615,1.0,27.0,25.0,8.0,4.0,11.0,16.0,,25.0,54.0,0.463,5.0,17.0,0.294,15.0,18.0,0.833,4.0,20.0,11.0,7.0,3.0,13.0,14.0,20.0,18,80.0,71.94117647058823,70.52941176470588,71.23529411764707,0.05687629202530198,-0.1058513012198185,1.411764705882348,0.01981833195706021,0,1,0,5.25,-0.21286336756925028,0.3143069348951698,0.02882967944659812,1.8738404612243624,-0.031687762277103335,0.1904535131627736,0.3348133734866811,0.036394357148201904,5.732352941176473,-0.07596326699718592,-0.041932904421999616,-2.1111111111111143,0.8888888888888999,0.161574834398151
2018-01-20,@,Elon,W,80.0,73.0,28.0,54.0,0.519,16.0,31.0,0.516,8.0,15.0,0.5329999999999999,2.0,30.0,15.0,4.0,1.0,13.0,19.0,,26.0,62.0,0.419,8.0,29.0,0.276,13.0,19.0,0.684,7.0,31.0,14.0,6.0,5.0,11.0,16.0,7.0,17,76.5,81.8125,83.25,82.53125,0.04629229183041245,-0.02298382156334805,-1.4375,-0.01741764483150322,0,1,0,-0.03448275862068328,2018-01-20,,William & Mary,L,73.0,80.0,26.0,62.0,0.419,8.0,29.0,0.276,13.0,19.0,0.684,7.0,31.0,14.0,6.0,5.0,11.0,16.0,,28.0,54.0,0.519,16.0,31.0,0.516,8.0,15.0,0.5329999999999999,2.0,30.0,15.0,4.0,1.0,13.0,19.0,-7.0,19,76.5,72.33333333333333,74.77777777777777,73.55555555555556,0.12656780379472898,0.09435082363162413,-2.4444444444444438,-0.03323262839879152,1,0,0,-5.200000000000003,0.1412199309548381,0.6349695540098017,0.6147264266330311,1.7022602182818902,-0.011297919057206998,0.1904535131627736,0.6420125376437635,0.036394357148201904,4.487847222222221,0.06608869693067733,-0.05393525579880842,-2.1111111111111143,-4.888888888888887,-0.6399763187069331
2018-01-25,@,Towson,L (1 OT),82.0,96.0,28.0,61.0,0.459,16.0,37.0,0.4320000000000001,10.0,16.0,0.625,8.0,34.0,18.0,5.0,0.0,18.0,26.0,,37.0,64.0,0.578,6.0,16.0,0.375,16.0,27.0,0.593,7.0,33.0,14.0,10.0,2.0,8.0,17.0,-14.0,18,89.0,81.70588235294117,82.6470588235294,82.17647058823529,0.06012574588747216,-0.0209976717124295,-0.9411764705882322,-0.0114531138153185,0,1,0,-0.03448275862068328,2018-01-25,,William & Mary,W (1 OT),96.0,82.0,37.0,64.0,0.578,6.0,16.0,0.375,16.0,27.0,0.593,7.0,33.0,14.0,10.0,2.0,8.0,17.0,,28.0,61.0,0.459,16.0,37.0,0.4320000000000001,10.0,16.0,0.625,8.0,34.0,18.0,5.0,0.0,18.0,26.0,14.0,20,89.0,75.3157894736842,68.84210526315789,72.07894736842105,-0.03889123841416103,-0.0038913345809528095,6.473684210526315,0.08981380065717412,1,0,0,3.0,0.1971494677240446,0.9678434357649108,-1.4369878837961778,-0.5897567559719263,-0.07844415553003682,0.1904535131627736,0.2983647413117773,0.036394357148201904,5.0487616099071175,-0.01529605812546166,0.028576659299336938,-2.1111111111111143,8.888888888888888,-0.5647590537884823
2018-01-27,@,UNC Wilmington,W,84.0,81.0,29.0,52.0,0.5579999999999999,10.0,25.0,0.4,16.0,22.0,0.727,3.0,26.0,15.0,7.0,1.0,12.0,17.0,,30.0,69.0,0.435,12.0,29.0,0.414,9.0,14.0,0.643,17.0,38.0,11.0,7.0,2.0,11.0,14.0,3.0,19,82.5,81.72222222222223,83.3888888888889,82.55555555555556,0.07192771131555398,-0.027714901744128384,-1.6666666666666572,-0.020188425302826263,0,1,0,-0.03448275862068328,2018-01-27,,William & Mary,L,81.0,84.0,30.0,69.0,0.435,12.0,29.0,0.414,9.0,14.0,0.643,17.0,38.0,11.0,7.0,2.0,11.0,14.0,,29.0,52.0,0.5579999999999999,10.0,25.0,0.4,16.0,22.0,0.727,3.0,26.0,15.0,7.0,1.0,12.0,17.0,-3.0,20,82.5,76.63157894736842,84.84210526315789,80.73684210526315,-0.03536502144454795,0.027046357499089124,-8.210526315789465,-0.10169491525423716,1,0,0,-6.366666666666673,0.4966863824095619,0.7452270673195429,1.249362441190696,1.7268208399787346,-0.15194092446159682,0.1904535131627736,0.44845558901667854,0.036394357148201904,0.9093567251461964,0.04410649152145012,0.031307157241031,-2.1111111111111143,-14.444444444444445,-1.2633820718906557
2018-02-01,,Elon,W,99.0,92.0,36.0,63.0,0.5710000000000001,13.0,25.0,0.52,14.0,21.0,0.667,6.0,31.0,25.0,4.0,5.0,8.0,16.0,,32.0,64.0,0.5,12.0,27.0,0.444,16.0,19.0,0.8420000000000001,6.0,31.0,17.0,3.0,4.0,10.0,20.0,7.0,20,95.5,81.84210526315789,83.26315789473685,82.55263157894737,0.07039846747810502,-0.01959263011905921,-1.4210526315789451,-0.0172138986292636,1,0,0,-0.03448275862068328,2018-02-01,@,William & Mary,L,92.0,99.0,32.0,64.0,0.5,12.0,27.0,0.444,16.0,19.0,0.8420000000000001,6.0,31.0,17.0,3.0,4.0,10.0,20.0,,36.0,63.0,0.5710000000000001,13.0,25.0,0.52,14.0,21.0,0.667,6.0,31.0,25.0,4.0,5.0,8.0,16.0,-7.0,22,95.5,73.19047619047619,75.47619047619048,74.33333333333333,0.11978728395987205,0.09909393442607983,-2.285714285714292,-0.030749519538757288,0,1,0,-5.200000000000003,0.18756620418670306,1.065398689561369,0.7119145501623436,1.892782621303528,-0.1841317989536918,0.1904535131627736,0.08976494398071261,0.036394357148201904,4.1096491228070215,0.08352281795995542,-0.048445308829570766,-2.1111111111111143,-4.888888888888887,-0.63063160335119
