Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,SMA_Score2,EMA_Score2,Last3Avg_Score2,Prev_Score2,SMA_Mean_Score2,EMA_Mean_Score2,Last3Avg_Mean_Score2,Prev_Mean_Score2,SMA_Result2,EMA_Result2,Last3Avg_Result2,Prev_Result2,SMA_Pct_Margin2,EMA_Pct_Margin2,Last3Avg_Pct_Margin2,Prev_Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,SMA_Threes2,EMA_Threes2,Last3Avg_Threes2,Prev_Threes2,SMA_Opp_Threes2,EMA_Opp_Threes2,Last3Avg_Opp_Threes2,Prev_Opp_Threes2,Game_Number2,SMA_Comb_Loc2,EMA_Comb_Loc2,Last3Avg_Comb_Loc2,Prev_Comb_Loc2,SMA_Result_Fin2,EMA_Result_Fin2,Last3Avg_Result_Fin2,Prev_Result_Fin2,SMA_Opp_FG_Pct2,EMA_Opp_FG_Pct2,Last3Avg_Opp_FG_Pct2,Prev_Opp_FG_Pct2,Comb_Loc2,Rest_Days2,SMA_FG_Pct2,EMA_FG_Pct2,Last3Avg_FG_Pct2,Prev_FG_Pct2,SMA_Opp_FG_Pct_Fin2,EMA_Opp_FG_Pct_Fin2,Last3Avg_Opp_FG_Pct_Fin2,Prev_Opp_FG_Pct_Fin2,SMA_Pct_Margin_Fin2,EMA_Pct_Margin_Fin2,Last3Avg_Pct_Margin_Fin2,Prev_Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2015-11-13,,Arkansas State,W,79.0,70.0,21.0,55.0,0.382,7.0,22.0,0.318,30.0,40.0,0.75,9.0,34.0,13.0,4.0,5.0,7.0,20.0,,26.0,72.0,0.361,7.0,20.0,0.35,11.0,15.0,0.733,16.0,42.0,14.0,2.0,1.0,11.0,27.0,,9.0,1,1,74.5,1,0,1,65.67857142857143,,64.91310584556456,,66.0,,75.0,,73.85714285714286,,72.36072274376872,,72.33333333333333,,80.0,,5.642857142857143,,5.970685286963273,,7.333333333333333,,7.0,,6.25,,5.89162645921947,,5.333333333333333,,5.0,,0.4024285714285713,,0.4108829114273552,,0.4220000000000003,,0.43099999999999994,,0.46442857142857147,,0.46275020322377297,,0.48000000000000026,,0.5,,69.76785714285714,,68.63691429466665,,69.16666666666667,,77.5,,0.0,,0.010027887925771773,,-0.3333333333333333,,1.0,,,,,,,,,,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,,,-9.0,74.5,,,,,,,,,,,,,,,,,0,1,,2015-11-13,@,SIU-Edwardsville,0,79.0,70.0,7.0,7.0,L,,,,,,,,,1,,,,,-5.103448275862064,-6.305064121764914,-6.666666666666671,-7.0,,,,,-1,,,,,,0.40837931034482766,0.420142446115702,0.48833333333333356,0.43499999999999994,-0.06817134960847529,-0.08460539229209457,-0.08403361344537821,-0.0915032679738562,,,,,,,,,-0.19515946420133165,,-0.389051335591747,
2015-11-18,,Saint Louis,L,60.0,70.0,17.0,60.0,0.283,5.0,23.0,0.217,21.0,29.0,0.724,10.0,38.0,10.0,6.0,3.0,15.0,31.0,,23.0,54.0,0.426,4.0,17.0,0.235,20.0,31.0,0.645,7.0,40.0,13.0,5.0,8.0,15.0,23.0,5.0,-10.0,0,2,65.0,1,0,1,65.67857142857143,79.0,64.91310584556456,79.0,66.0,,75.0,79.0,73.85714285714286,70.0,72.36072274376872,70.0,72.33333333333333,,80.0,70.0,5.642857142857143,-0.04770157729376201,5.970685286963273,-0.04770157729376201,7.333333333333333,,7.0,-0.04770157729376201,6.25,-0.013524362103888576,5.89162645921947,-0.013524362103888576,5.333333333333333,,5.0,-0.013524362103888576,0.4024285714285713,0.382,0.4108829114273552,0.382,0.4220000000000003,,0.43099999999999994,0.382,0.46442857142857147,0.361,0.46275020322377297,0.361,0.48000000000000026,,0.5,0.361,69.76785714285714,74.5,68.63691429466665,74.5,69.16666666666667,,77.5,74.5,0.0,2.0,0.010027887925771773,2.0,-0.3333333333333333,,1.0,2.0,9.0,9.0,,9.0,0.12080536912751678,0.12080536912751678,,0.12080536912751678,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,9.0,17.0,10.0,65.0,85.0,85.0,,85.0,76.5,76.5,,76.5,17.0,17.0,,17.0,0.2222222222222222,0.2222222222222222,,0.2222222222222222,0,1,0.0,2015-11-18,@,SIU-Edwardsville,1,60.0,70.0,4.0,5.0,W,-0.20764200916271208,-0.20764200916271208,,-0.20764200916271208,0.08353446142552318,0.08353446142552318,,0.08353446142552318,2,2.0,2.0,,2.0,-6.21875,-7.1103975264546335,-4.0,-8.0,0.44,0.44,,0.44,-1,3.0,0.528,0.528,,0.528,0.43687499999999996,0.43729903182033075,0.41933333333333334,0.43599999999999983,-0.09022897302199048,-0.10206389467451278,-0.054298642533936646,-0.11594202898550725,-1.0,-0.06312468271906303,0.052992694967282684,-9.0,-9.0,-14.333333333333329,-14.333333333333329,9.0,-0.19515946420133165,-5.103448275862064,-0.389051335591747,14.166666666666666
2015-11-21,@,Purdue-Fort Wayne,L,67.0,87.0,24.0,61.0,0.393,3.0,15.0,0.2,16.0,24.0,0.667,13.0,33.0,6.0,5.0,2.0,10.0,27.0,,28.0,59.0,0.475,11.0,27.0,0.407,20.0,29.0,0.69,11.0,35.0,17.0,4.0,5.0,10.0,20.0,3.0,-20.0,0,3,77.0,0,1,-1,65.67857142857143,69.5,64.91310584556456,69.16071428571429,66.0,,75.0,60.0,73.85714285714286,70.0,72.36072274376872,70.0,72.33333333333333,,80.0,70.0,5.642857142857143,-0.05453155634849288,5.970685286963273,-0.054810187045794045,7.333333333333333,,7.0,-0.06352436210388857,6.25,-0.07781007638960286,5.89162645921947,-0.08010599475694977,5.333333333333333,,5.0,-0.14209579067531714,0.4024285714285713,0.3325,0.4108829114273552,0.3307321428571428,0.4220000000000003,,0.43099999999999994,0.28300000000000003,0.46442857142857147,0.39349999999999996,0.46275020322377297,0.39466071428571425,0.48000000000000026,,0.5,0.42599999999999993,69.76785714285714,69.75,68.63691429466665,69.58035714285715,69.16666666666667,,77.5,65.0,0.0,3.0,0.010027887925771773,3.0,-0.3333333333333333,,1.0,3.0,-0.5,-0.8392857142857082,,-10.0,-0.007168458781362007,-0.012062107019119634,,-0.15384615384615385,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-0.5,-5.5,20.0,77.0,72.0,72.25,,80.0,74.75,74.8671875,,78.5,-5.5,-5.234375,,3.0,-0.07357859531772576,-0.06991547532088073,,0.03821656050955414,1,0,0.0,2015-11-21,,SIU-Edwardsville,1,67.0,87.0,11.0,3.0,W,0.08230897122944475,0.08158809464351618,,0.061475637896111435,-0.11997597500711438,-0.11993694528598173,,-0.11871916729869375,3,3.0,3.0,,3.0,1.65625,1.774297683613554,-3.0,-24.0,0.4845,0.484640625,,0.489,1,3.0,0.428,0.4275625,,0.414,0.4635,0.47018258652487893,0.4733333333333332,0.5329999999999999,0.021514105946823625,0.02287385342183564,-0.04215456674473068,-0.3582089552238806,-2.5,0.08088557746326493,-0.08002791599756125,4.25,4.25,-4.333333333333329,-4.333333333333329,-4.125,-0.19515946420133165,-5.661099137931032,-0.389051335591747,7.499999999999999
2015-11-24,,Campbell,L,74.0,77.0,28.0,65.0,0.431,4.0,16.0,0.25,14.0,23.0,0.609,15.0,41.0,10.0,4.0,3.0,13.0,24.0,,27.0,52.0,0.519,7.0,19.0,0.368,16.0,25.0,0.64,1.0,22.0,11.0,6.0,0.0,8.0,21.0,3.0,-3.0,0,4,75.5,1,0,1,65.67857142857143,68.66666666666667,64.91310584556456,68.38844028899278,66.0,68.66666666666667,75.0,67.0,73.85714285714286,75.66666666666667,72.36072274376872,76.07607309817254,72.33333333333333,75.66666666666667,80.0,87.0,5.642857142857143,-0.095077760162141,5.970685286963273,-0.09836508843655489,7.333333333333333,-0.095077760162141,7.0,-0.17919600389493334,6.25,-0.022775463425474485,5.89162645921947,-0.020474369645493096,5.333333333333333,-0.022775463425474485,5.0,0.06578598272369762,0.4024285714285713,0.3526666666666667,0.4108829114273552,0.35298767530811725,0.4220000000000003,0.3526666666666667,0.43099999999999994,0.39300000000000007,0.46442857142857147,0.4206666666666667,0.46275020322377297,0.42337526561835953,0.48000000000000026,0.4206666666666667,0.5,0.4749999999999999,69.76785714285714,72.16666666666667,68.63691429466665,72.23225669358267,69.16666666666667,72.16666666666667,77.5,77.0,0.0,0.4444444444444444,0.010027887925771773,0.3252828581537904,-0.3333333333333333,0.4444444444444444,1.0,4.0,-7.0,-7.68763280917976,-7.0,-20.0,-0.09699769053117782,-0.10642935941751841,-0.09699769053117782,-0.2597402597402597,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-7.0,-3.5,3.0,75.5,55.5,55.44444444444444,,54.0,57.25,57.22222222222222,,56.5,-3.5,-3.555555555555557,,-5.0,-0.0611353711790393,-0.06213592233009711,,-0.08849557522123894,0,1,0.0,2015-11-24,@,SIU-Edwardsville,1,74.0,77.0,7.0,4.0,W,-0.09730814588767234,-0.09709149637242565,,-0.09130213988166636,-0.033863345154736046,-0.032921725569048654,,-0.008439616341176681,3,0.0,0.0041152263374485566,,3.0,-4.407407407407405,-4.72129607340446,-10.0,-10.0,0.403,0.40385185185185185,,0.42600000000000005,-1,3.0,0.3855,0.38377777777777783,,0.339,0.4778518518518519,0.4879980785829245,0.5086666666666669,0.529,-0.06002522068095835,-0.06381497959234575,-0.14218009478672985,-0.13513513513513514,7.458333333333336,0.056741968673194566,0.047076938278369555,5.666666666666664,5.666666666666664,-16.0,-16.0,-8.766666666666667,-0.19515946420133165,-3.221982758620688,-0.389051335591747,7.033333333333332
2015-11-28,@,Butler,L,73.0,89.0,24.0,52.0,0.462,6.0,15.0,0.4,19.0,29.0,0.655,6.0,23.0,11.0,5.0,0.0,13.0,26.0,,30.0,53.0,0.566,7.0,16.0,0.438,22.0,32.0,0.688,9.0,29.0,17.0,7.0,2.0,12.0,24.0,4.0,-16.0,0,5,81.0,0,1,-1,65.67857142857143,70.0,64.91310584556456,69.9450864422202,66.0,67.0,75.0,74.0,73.85714285714286,76.0,72.36072274376872,76.3323703366697,72.33333333333333,78.0,80.0,77.0,5.642857142857143,-0.10995293353246,5.970685286963273,-0.11391876353540281,7.333333333333333,-0.13441988449194828,7.0,-0.1513621999417264,6.25,-0.027340151577572802,5.89162645921947,-0.0261611979807036,5.333333333333333,-0.03147308005260652,5.0,-0.04079708937661586,0.4024285714285713,0.37225,0.4108829114273552,0.37462828707916285,0.4220000000000003,0.36900000000000005,0.43099999999999994,0.43100000000000005,0.46442857142857147,0.44525000000000003,0.46275020322377297,0.4499015582347588,0.48000000000000026,0.4733333333333334,0.5,0.519,69.76785714285714,73.0,68.63691429466665,73.13872838944495,69.16666666666667,72.5,77.5,75.5,0.0,1.25,0.010027887925771773,1.1686786797866535,-0.3333333333333333,0.5555555555555556,1.0,5.0,-6.0,-6.387283894449496,-11.0,-3.0,-0.0821917808219178,-0.08733107664162343,-0.15172413793103448,-0.039735099337748346,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-6.0,25.5,16.0,81.0,96.5,94.81295524047817,80.66666666666667,75.0,83.75,83.10970252988602,75.83333333333333,80.0,25.5,23.406505421184292,9.666666666666671,-10.0,0.3044776119402985,0.28163384910164224,0.12747252747252755,-0.125,1,0,0.0,2015-11-28,,SIU-Edwardsville,1,73.0,89.0,7.0,6.0,W,-0.08813576106761914,-0.08479958845417601,-0.053193783591491905,0.006475637896111441,-0.017749714216564627,-0.01860633633777703,-0.06000323534332519,0.004122696719640828,5,0.3125,0.25933970706908405,0.0,0.0,8.909090909090907,5.493311244231961,-4.0,-8.0,0.377,0.3829977759243814,0.4126666666666667,0.519,1,6.0,0.51025,0.5040881289963859,0.46833333333333327,0.44099999999999995,0.4387878787878786,0.45703614357841615,0.525,0.5579999999999998,0.11802488960256921,0.0736809783099193,-0.058252427184466014,-0.1095890410958904,-5.375,0.04417729221527832,0.04908813570500969,1.916666666666666,1.916666666666666,-7.0625,-7.0625,-5.407843137254904,-0.19515946420133165,-3.518338920817367,-0.389051335591747,5.275347222222225
2015-11-30,,Green Bay,L,69.0,87.0,26.0,73.0,0.356,5.0,18.0,0.278,12.0,17.0,0.706,13.0,36.0,14.0,3.0,5.0,11.0,14.0,,34.0,64.0,0.531,9.0,17.0,0.529,10.0,14.0,0.714,8.0,39.0,24.0,4.0,9.0,7.0,13.0,2.0,-18.0,0,6,78.0,1,0,1,65.67857142857143,70.6,64.91310584556456,70.64635144156948,66.0,71.33333333333333,75.0,73.0,73.85714285714286,78.6,72.36072274376872,79.24026450113449,72.33333333333333,84.33333333333333,80.0,89.0,5.642857142857143,-0.10105977286876108,5.970685286963273,-0.10277749729883873,7.333333333333333,-0.13128137144968294,7.0,-0.06694901963813515,6.25,-0.03871520179854504,5.89162645921947,-0.03941556364441767,5.333333333333333,-0.017081674356852983,5.0,-0.07756930592411329,0.4024285714285713,0.3902,0.4108829114273552,0.39468473811966487,0.4220000000000003,0.42866666666666675,0.43099999999999994,0.462,0.46442857142857147,0.4694,0.46275020322377297,0.4765523200809056,0.48000000000000026,0.5200000000000001,0.5,0.566,69.76785714285714,74.6,68.63691429466665,74.94330797135198,69.16666666666667,77.83333333333333,77.5,81.0,0.0,0.24000000000000005,0.010027887925771773,0.12257189175016009,-0.3333333333333333,0.6666666666666666,1.0,6.0,-8.0,-8.593913059565011,-13.0,-16.0,-0.10723860589812333,-0.11467218744667826,-0.1670235546038544,-0.19753086419753085,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-8.0,-7.0,18.0,78.0,80.6,80.14067011780989,74.66666666666667,81.0,84.1,83.38017090674012,77.66666666666667,76.5,-7.0,-6.479001577860416,-6.0,9.0,-0.08323424494649227,-0.07770434513869147,-0.07725321888412016,0.11764705882352941,0,1,0.0,2015-11-30,@,SIU-Edwardsville,1,69.0,87.0,9.0,5.0,W,-0.11253180627262302,-0.11650332623555965,-0.13941721924674572,-0.1283391769187034,-0.06009970456964192,-0.06114466461272444,-0.053193783591491905,-0.18852436210388857,6,2.16,1.9991166430945508,0.6666666666666666,6.0,1.8235294117646959,2.2481086002569697,-3.666666666666657,-27.0,0.47020000000000006,0.4657152322768596,0.4400000000000001,0.41000000000000025,-1,2.0,0.3888,0.3882178827865305,0.38033333333333336,0.409,0.4535588235294118,0.44388068979589973,0.44,0.5610000000000002,0.02230215827338117,0.02794112047231713,-0.04444444444444433,-0.34394904458598724,-4.75,0.07793370575872582,0.0660052390996304,4.562857142857138,4.562857142857138,-3.2900000000000036,-3.2900000000000036,-3.1154761904761914,-0.19515946420133165,-1.0328529548357124,-0.389051335591747,2.761674603174602
2015-12-03,@,Milwaukee,L,51.0,64.0,20.0,59.0,0.339,2.0,15.0,0.133,9.0,14.0,0.643,8.0,39.0,6.0,2.0,3.0,12.0,20.0,,22.0,54.0,0.407,7.0,19.0,0.368,13.0,18.0,0.722,1.0,31.0,16.0,4.0,3.0,8.0,17.0,3.0,-13.0,0,7,57.5,0,1,-1,65.67857142857143,70.33333333333333,64.91310584556456,70.32071886077236,66.0,72.0,75.0,69.0,73.85714285714286,80.0,72.36072274376872,80.77506602224217,72.33333333333333,84.33333333333333,80.0,87.0,5.642857142857143,-0.10025421992379377,5.970685286963273,-0.10148797324919526,7.333333333333333,-0.10519102877055522,7.0,-0.09613305775606248,6.25,-0.032274362103888565,5.89162645921947,-0.03169608741927976,5.333333333333333,-0.0407970893766158,5.0,-0.003179534517681659,0.4024285714285713,0.3845,0.4108829114273552,0.3870332666335048,0.4220000000000003,0.41633333333333344,0.43099999999999994,0.35600000000000004,0.46442857142857147,0.4796666666666667,0.46275020322377297,0.4873215508069822,0.48000000000000026,0.5386666666666667,0.5,0.531,69.76785714285714,75.16666666666667,68.63691429466665,75.54789244150726,69.16666666666667,78.16666666666667,77.5,78.0,0.0,0.7777777777777777,0.010027887925771773,0.6833720044996263,-0.3333333333333333,0.7777777777777777,1.0,7.0,-9.666666666666671,-10.454347161469812,-12.333333333333329,-18.0,-0.12860310421286036,-0.13838039452343506,-0.15778251599147114,-0.23076923076923078,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-9.666666666666666,2.2857142857142856,13.0,57.5,75.71428571428571,76.4030500364121,79.66666666666667,84.0,74.57142857142857,75.47219659805768,79.83333333333333,81.0,2.2857142857142776,1.8617068767088512,-0.3333333333333286,6.0,0.030651340996168473,0.024667453189732166,-0.0041753653444675815,0.07407407407407407,1,0,0.0,2015-12-03,,SIU-Edwardsville,1,51.0,64.0,7.0,2.0,W,0.05440016619799831,0.049627141057413005,0.012835470532094662,-0.13495293353246,-0.01002241657859676,-0.015272339289794101,-0.026024362103888588,-0.08275513133465778,8,0.6530612244897959,0.6027734527892926,0.0,0.0,4.903225806451601,5.8949452611889654,7.0,-9.0,0.49457142857142866,0.49464677077981856,0.48633333333333345,0.3969999999999999,1,8.0,0.44885714285714284,0.4501392868709289,0.4463333333333333,0.46700000000000014,0.4572258064516129,0.4474705508806411,0.4363333333333335,0.4130000000000001,0.06518010291595183,0.07766672296110799,0.08955223880597014,-0.13740458015267176,0.297619047619051,0.0316984156676405,-0.04190143986053363,2.135714285714285,2.135714285714285,0.4931972789115631,0.4931972789115631,-1.9092261904761914,-0.19515946420133165,-0.5567892270689777,-0.389051335591747,-0.6658143019112414
2015-12-05,@,Northwestern,L,56.0,81.0,20.0,58.0,0.345,5.0,12.0,0.417,11.0,16.0,0.688,8.0,29.0,14.0,2.0,5.0,6.0,24.0,,30.0,58.0,0.517,9.0,22.0,0.409,12.0,23.0,0.522,10.0,38.0,24.0,2.0,11.0,9.0,20.0,2.0,-25.0,0,8,68.5,0,1,-1,65.67857142857143,67.57142857142857,64.91310584556456,66.9353811934726,66.0,64.33333333333333,75.0,51.0,73.85714285714286,77.71428571428571,72.36072274376872,77.8357725474099,72.33333333333333,80.0,80.0,64.0,5.642857142857143,-0.11056453123708096,5.970685286963273,-0.11408929356127262,7.333333333333333,-0.11145182324378491,7.0,-0.19587730328035916,6.25,-0.026759656221535588,5.89162645921947,-0.02502602774392121,5.333333333333333,-0.026024362103888588,5.0,0.014600637896111435,0.4024285714285713,0.378,0.4108829114273552,0.37861697384493737,0.4220000000000003,0.38566666666666677,0.43099999999999994,0.3390000000000001,0.46442857142857147,0.4692857142857143,0.46275020322377297,0.47324776952574377,0.48000000000000026,0.5013333333333333,0.5,0.4069999999999999,69.76785714285714,72.64285714285714,68.63691429466665,72.38557687044124,69.16666666666667,72.16666666666667,77.5,57.5,0.0,0.16326530612244897,0.010027887925771773,0.05442963587848856,-0.3333333333333333,0.8888888888888888,1.0,8.0,-10.142857142857139,-10.900391353937309,-15.666666666666671,-13.0,-0.1396263520157325,-0.15058789091986224,-0.2170900692840647,-0.22608695652173913,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-10.142857142857142,7.857142857142857,25.0,68.5,78.28571428571429,78.41332974783352,79.33333333333333,81.0,74.35714285714286,74.5461750266197,73.66666666666667,80.0,7.857142857142861,7.734309442427659,11.333333333333329,2.0,0.10566762728146019,0.10375192878327848,0.15384615384615377,0.025,1,0,0.0,2015-12-05,,SIU-Edwardsville,1,56.0,81.0,9.0,5.0,W,0.0696873167282282,0.07236200228069478,0.08983698243392657,0.056846008266481785,-0.021435112610988016,-0.027726247777316804,-0.07823024445682975,-0.04770157729376201,8,1.4693877551020407,1.0680399932257139,0.0,8.0,6.03125,3.8603333659601873,6.333333333333336,-2.0,0.40285714285714286,0.4036420033241492,0.389,0.40900000000000003,1,4.0,0.4772857142857143,0.4793731891802831,0.49900000000000005,0.47799999999999976,0.40259375000000003,0.40473458925070094,0.3826666666666663,0.3790000000000001,0.08742921857304643,0.05676993754395799,0.09669211195928756,-0.028169014084507043,-0.8571428571428612,0.048682267591474544,-0.04318343013991191,2.5414965986394558,2.5414965986394558,-0.06785714285714205,-0.06785714285714205,-1.6958074534161487,-0.19515946420133165,0.22321292057681927,-0.389051335591747,0.3640731292517009
2015-12-09,@,Southern Illinois,W,76.0,74.0,25.0,46.0,0.543,10.0,16.0,0.625,16.0,26.0,0.615,5.0,24.0,9.0,9.0,5.0,20.0,29.0,,25.0,51.0,0.49,3.0,15.0,0.2,21.0,36.0,0.583,11.0,30.0,6.0,12.0,1.0,17.0,22.0,4.0,2.0,1,9,75.0,0,1,-1,65.67857142857143,66.125,64.91310584556456,65.20333934228493,66.0,58.666666666666664,75.0,56.0,73.85714285714286,78.125,72.36072274376872,78.33695072104635,72.33333333333333,77.33333333333333,80.0,81.0,5.642857142857143,-0.10369449442903034,5.970685286963273,-0.1047816685067994,7.333333333333333,-0.10897890755843401,7.0,-0.045667219246745716,6.25,-0.02072436210388856,5.89162645921947,-0.01768325688769773,5.333333333333333,0.00975149996507696,5.0,0.01980897122944475,0.4024285714285713,0.37387499999999996,0.4108829114273552,0.37329242186274686,0.4220000000000003,0.34666666666666673,0.43099999999999994,0.34500000000000003,0.46442857142857147,0.47525,0.46275020322377297,0.48017763259347607,0.48000000000000026,0.48500000000000004,0.5,0.5169999999999999,69.76785714285714,72.125,68.63691429466665,71.77014503166563,69.16666666666667,68.0,77.5,68.5,0.0,0.0,0.010027887925771773,0.07123911564511455,-0.3333333333333333,1.0,1.0,9.0,-12.0,-13.133611378761415,-18.666666666666664,-25.0,-0.1663778162911612,-0.18299546939701386,-0.2745098039215686,-0.36496350364963503,-8.17857142857143,-0.1172254927054006,-7.44761689820416,-0.10850745513166037,-6.333333333333329,-0.09156626506024089,-5.0,-0.06451612903225806,OVC,-12.0,11.222222222222221,-2.0,75.0,80.88888888888889,81.22731869731855,83.0,95.0,75.27777777777777,75.27049482812585,73.5,79.0,11.222222222222214,11.913647738385379,19.0,32.0,0.14907749077490764,0.1582777921892136,0.2585034013605442,0.4050632911392405,1,0,0.0,2015-12-09,,SIU-Edwardsville,0,76.0,74.0,3.0,10.0,L,-0.04566721924674566,-0.044812453567231736,-0.0605123139111175,0.0022651115803219435,-0.06950522334790771,-0.07301975788246909,-0.07914936210388857,-0.21828626686579333,10,1.1111111111111112,0.7356326712164752,0.0,10.0,4.09375,1.1662778308083546,-6.333333333333336,-6.0,0.4332222222222223,0.43586246344351454,0.4419999999999999,0.4620000000000002,1,4.0,0.49088888888888893,0.49758945896722984,0.5423333333333334,0.679,0.45203125000000005,0.46094846280320034,0.4599999999999998,0.4770000000000005,0.057093048594465026,0.0165354366281757,-0.09620253164556966,-0.09523809523809523,-1.5763888888888857,0.08489587148523847,0.0307640047449487,2.922718253968254,2.922718253968254,-4.936022927689593,-4.936022927689593,-1.6927898843153077,-0.19515946420133165,0.9492175555047169,-0.389051335591747,-0.020869988942078796
