Date,Loc,Opp_name,Win,Score,Opp_score,6,7,8,Threes,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Opp_Threes,27,28,29,30,31,32,33,34,35,36,37,38,result,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Mean_Score,Avg_Threes,Opp_Avg_Threes,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Avg_Result_NC
2017-11-13,@,Northern Colorado,1,74.0,59.0,27.0,52.0,0.519,5.0,10.0,0.5,13.0,16.0,0.813,3.0,25.0,10.0,10.0,2.0,10.0,17.0,,21.0,46.0,0.457,6.0,23.0,0.261,11.0,17.0,0.647,4.0,29.0,7.0,7.0,5.0,19.0,16.0,15.0,1,66.5,,,,,,,,0,1,0,2.774193548387103,
2017-11-15,@,Pacific,1,62.0,58.0,21.0,41.0,0.512,6.0,14.0,0.429,14.0,16.0,0.875,1.0,23.0,13.0,7.0,0.0,19.0,22.0,,21.0,50.0,0.42,2.0,9.0,0.222,14.0,24.0,0.583,14.0,31.0,11.0,14.0,6.0,16.0,16.0,4.0,2,60.0,74.0,59.0,66.5,-0.11082165940118585,-0.008439616341176681,15.0,0.22556390977443608,0,1,0,2.774193548387103,15.0
2017-11-18,@,Utah Valley,0,71.0,80.0,26.0,55.0,0.473,6.0,15.0,0.4,13.0,16.0,0.813,7.0,24.0,15.0,7.0,1.0,13.0,20.0,,28.0,57.0,0.491,10.0,20.0,0.5,14.0,16.0,0.875,10.0,32.0,18.0,3.0,2.0,14.0,18.0,-9.0,3,75.5,68.0,58.5,63.25,-0.07087730328035916,-0.10839615697568344,9.5,0.15019762845849802,0,1,0,2.774193548387103,9.5
2017-11-21,N,Sacramento State,1,64.0,47.0,23.0,51.0,0.451,6.0,13.0,0.462,12.0,22.0,0.545,9.0,35.0,11.0,10.0,2.0,18.0,15.0,,16.0,50.0,0.32,6.0,18.0,0.333,9.0,11.0,0.818,7.0,32.0,11.0,11.0,4.0,22.0,20.0,17.0,4,55.5,69.0,65.66666666666667,67.33333333333333,-0.06714755050968566,-0.03941268697698502,3.3333333333333286,0.04950495049504944,0,0,1,2.774193548387103,3.3333333333333286
2017-11-26,@,Washington,0,70.0,77.0,25.0,55.0,0.455,5.0,21.0,0.238,15.0,21.0,0.714,10.0,25.0,13.0,6.0,0.0,11.0,22.0,,25.0,54.0,0.463,6.0,23.0,0.261,21.0,27.0,0.778,16.0,39.0,15.0,7.0,3.0,15.0,15.0,-7.0,5,73.5,67.75,61.0,64.375,-0.05891181597842732,-0.018442394890773817,6.75,0.10485436893203884,0,1,0,2.774193548387103,6.75
2017-11-29,,Northern Colorado,1,56.0,51.0,17.0,54.0,0.315,5.0,15.0,0.333,17.0,31.0,0.548,10.0,43.0,9.0,7.0,4.0,11.0,19.0,,16.0,57.0,0.281,1.0,23.0,0.043,18.0,24.0,0.75,8.0,38.0,3.0,6.0,3.0,9.0,24.0,5.0,6,53.5,68.2,64.2,66.2,-0.06719005125344868,-0.033150530328187655,4.0,0.060422960725075525,1,0,0,2.774193548387103,4.0
2017-12-02,@,Washington State,1,81.0,67.0,30.0,55.0,0.545,7.0,17.0,0.412,14.0,21.0,0.667,8.0,37.0,13.0,8.0,3.0,12.0,14.0,,24.0,57.0,0.421,12.0,34.0,0.353,7.0,10.0,0.7,6.0,27.0,13.0,6.0,3.0,17.0,17.0,14.0,7,74.0,66.16666666666667,62.0,64.08333333333333,-0.06415408502580294,-0.06352436210388857,4.166666666666671,0.0650195058517556,0,1,0,2.774193548387103,4.166666666666671
2017-12-06,,Pacific,1,71.0,67.0,23.0,43.0,0.535,5.0,10.0,0.5,20.0,26.0,0.769,1.0,20.0,6.0,7.0,0.0,12.0,19.0,,22.0,61.0,0.361,4.0,13.0,0.308,19.0,21.0,0.905,18.0,39.0,12.0,7.0,2.0,16.0,20.0,4.0,8,69.0,68.28571428571429,62.714285714285715,65.5,-0.062478336999286066,-0.019674703789537784,5.5714285714285765,0.08505997818974927,1,0,0,2.774193548387103,5.5714285714285765
2017-12-15,@,San Francisco,0,61.0,74.0,20.0,44.0,0.455,5.0,12.0,0.417,16.0,26.0,0.615,7.0,23.0,10.0,8.0,1.0,15.0,21.0,,26.0,51.0,0.51,10.0,22.0,0.455,12.0,21.0,0.571,10.0,31.0,17.0,9.0,3.0,15.0,22.0,-13.0,9,67.5,68.625,63.25,65.9375,-0.06762272275962627,-0.034868235621675125,5.375,0.08151658767772511,0,1,0,2.774193548387103,5.375
2017-12-19,@,Nevada,0,73.0,88.0,28.0,63.0,0.444,7.0,22.0,0.318,10.0,12.0,0.833,13.0,32.0,9.0,3.0,2.0,16.0,22.0,,32.0,57.0,0.561,9.0,22.0,0.409,15.0,23.0,0.652,6.0,27.0,24.0,10.0,6.0,9.0,17.0,-15.0,10,80.5,67.77777777777777,64.44444444444444,66.11111111111111,-0.06762272275962622,-0.01869677589699198,3.3333333333333286,0.050420168067226816,0,1,0,2.774193548387103,3.3333333333333286
2017-12-22,N,Lamar,1,77.0,68.0,25.0,47.0,0.532,8.0,19.0,0.421,19.0,20.0,0.95,2.0,26.0,17.0,8.0,0.0,15.0,18.0,,26.0,56.0,0.464,7.0,21.0,0.333,9.0,14.0,0.643,8.0,28.0,10.0,7.0,2.0,17.0,18.0,9.0,11,72.5,68.3,66.8,67.55,-0.06315832989305398,-0.017117176475146045,1.5,0.02220577350111029,0,0,1,2.774193548387103,3.3333333333333286
2017-12-23,N,Radford,0,62.0,72.0,18.0,54.0,0.333,3.0,15.0,0.2,23.0,30.0,0.767,7.0,27.0,7.0,9.0,3.0,15.0,23.0,,24.0,54.0,0.444,6.0,18.0,0.333,18.0,25.0,0.72,9.0,35.0,9.0,4.0,6.0,16.0,22.0,-10.0,12,67.0,69.0909090909091,66.9090909090909,68.0,-0.05694541473546755,-0.015970014277801592,2.181818181818187,0.032085561497326276,0,0,1,2.774193548387103,3.3333333333333286
2018-01-04,,UC-Irvine,1,64.0,53.0,22.0,50.0,0.44,4.0,17.0,0.235,16.0,28.0,0.571,5.0,29.0,11.0,12.0,1.0,12.0,20.0,,18.0,50.0,0.36,4.0,17.0,0.235,13.0,19.0,0.684,7.0,39.0,7.0,6.0,0.0,22.0,25.0,11.0,13,58.5,68.5,67.33333333333333,67.91666666666667,-0.06534917962213674,-0.02020753042072021,1.1666666666666714,0.017177914110429515,1,0,0,2.774193548387103,3.3333333333333286
2018-01-11,@,UC-Riverside,1,75.0,65.0,24.0,50.0,0.48,6.0,18.0,0.333,21.0,29.0,0.724,7.0,26.0,14.0,10.0,2.0,15.0,19.0,,25.0,59.0,0.424,6.0,21.0,0.286,9.0,13.0,0.692,8.0,28.0,20.0,3.0,1.0,16.0,25.0,10.0,14,70.0,68.15384615384616,66.23076923076923,67.1923076923077,-0.06973203704745515,-0.02432575583211155,1.923076923076934,0.028620492272467248,0,1,0,2.774193548387103,3.3333333333333286
2018-01-13,@,Cal State Fullerton,0,70.0,85.0,22.0,52.0,0.423,3.0,15.0,0.2,23.0,31.0,0.742,8.0,30.0,9.0,4.0,5.0,18.0,22.0,,28.0,57.0,0.491,10.0,20.0,0.5,19.0,25.0,0.76,8.0,29.0,15.0,6.0,2.0,11.0,24.0,-15.0,15,77.5,68.64285714285714,66.14285714285714,67.39285714285714,-0.07002800414343069,-0.025187429058532163,2.5,0.03709591944886063,0,1,0,2.774193548387103,3.3333333333333286
